state,period,expenditure
ACT,YE March 2020,265.98
ACT,YE June 2020,227.27
ACT,YE September 2020,194.92
ACT,YE December 2020,176.26
ACT,YE March 2021,181.55
ACT,YE June 2021,204.88
ACT,YE September 2021,205.58
ACT,YE December 2021,236.99
ACT,YE March 2022,264.98
ACT,YE June 2022,293.37
ACT,YE September 2022,348.58
ACT,YE December 2022,448.88
ACT,YE March 2023,486.38
ACT,YE June 2023,516.53
ACT,YE September 2023,596.96
ACT,YE December 2023,535.10
ACT,YE March 2024,453.49
ACT,YE June 2024,406.85
ACT,YE September 2024,297.87
ACT,YE December 2024,279.74
ACT,YE March 2025,332.23
ACT,YE June 2025,379.18
